	Education	JoiningYear	PaymentTier	Age	Gender	EverBenched	ExperienceInCurrentDomain	City_Bangalore	City_New Delhi	City_Pune	LeaveOrNot
Education	1.0	0.1432484021196129	-0.1421258539812839	-0.017930250610813284	-0.011052353123953567	-0.047688897399294716	0.0008134262320378338	-0.3090097878490731	0.41778670678928226	-0.06033590906379755	0.06904123659238008
JoiningYear	0.1432484021196129	1.0	-0.12076475436437789	0.023484593859305035	-0.01089648368386067	0.04120232227733857	-0.04405335152455555	-0.10883521414920033	0.13914651416021823	-0.01345287078026824	0.1767298119583163
PaymentTier	-0.1421258539812839	-0.12076475436437789	1.0	0.013306524253717925	0.24703690058318584	0.003135096585698769	0.009177482815220241	0.30298472679050836	-0.08792814347108668	-0.25439820203998764	-0.21202813404575044
Age	-0.017930250610813284	0.023484593859305035	0.013306524253717925	1.0	-0.029327403808583546	-0.024933026014464607	-0.15176828373636947	0.05234446868691461	-0.032059629763285497	-0.02750920415525671	-0.027575249969712782
Gender	-0.011052353123953567	-0.01089648368386067	0.24703690058318584	-0.029327403808583546	1.0	-0.002840860445070399	0.0063682563607150855	0.21916522179897308	-0.144089351630301	-0.10557398199552585	-0.21805244249635966
EverBenched	-0.047688897399294716	0.04120232227733857	0.003135096585698769	-0.024933026014464607	-0.002840860445070399	1.0	-0.008534132182794899	0.006512764277434119	-0.01702414142555873	0.00928209041263112	0.0954819915990943
ExperienceInCurrentDomain	0.0008134262320378338	-0.04405335152455555	0.009177482815220241	-0.15176828373636947	0.0063682563607150855	-0.008534132182794899	1.0	0.011599714142027494	0.003195700630396952	-0.016135264999275402	-0.030925520742138602
City_Bangalore	-0.3090097878490731	-0.10883521414920033	0.30298472679050836	0.05234446868691461	0.21916522179897308	0.006512764277434119	0.011599714142027494	1.0	-0.5529660470326113	-0.583541350288473	-0.16976145542984364
City_New Delhi	0.41778670678928226	0.13914651416021823	-0.08792814347108668	-0.032059629763285497	-0.144089351630301	-0.01702414142555873	0.003195700630396952	-0.5529660470326113	1.0	-0.3539524331132019	-0.027902099463445098
City_Pune	-0.06033590906379755	-0.01345287078026824	-0.25439820203998764	-0.02750920415525671	-0.10557398199552585	0.00928209041263112	-0.016135264999275402	-0.583541350288473	-0.3539524331132019	1.0	0.21775046595933195
LeaveOrNot	0.06904123659238008	0.1767298119583163	-0.21202813404575044	-0.027575249969712782	-0.21805244249635966	0.0954819915990943	-0.030925520742138602	-0.16976145542984364	-0.027902099463445098	0.21775046595933195	1.0
