('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.738688945770264)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.476418972015381)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8512028725314182, 12.329201936721802)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.9530668108495848, 22.661134958267212)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8528085862784458, 9.118231773376465)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8527422156437343, 9.289347171783447)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8883367104758226, 11.919265985488892)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8563894523326573, 10.151045083999634)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8504615384615384, 11.072481870651245)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.9056093924771476, 20.59081506729126)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.855882506475267, 9.587867259979248)
('adult', 'learn2clean', 'CART', 'income', None, 'MF -> CART', 'accuracy', 0.8895275485928943, 22.52512788772583)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8542236639107561, 10.063703060150146)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8537256878182304, 13.763155221939087)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8492620363796659, 16.758590936660767)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8508451656524679, 11.182173252105713)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8522940027141594, 21.658806085586548)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.836379911579092, 20.003973960876465)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8540662818537781, 12.617335081100464)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8619106191061909, 22.056582927703857)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.844691141522625, 19.11347794532776)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8435722708189592, 20.803977966308594)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.9450881413800118, 21.87476396560669)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.84615948946663, 19.402247190475464)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8442568328504965, 20.289618968963623)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8442568328504965, 19.79275918006897)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8439270469538224, 21.20018982887268)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8434548914889589, 19.957562923431396)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8446923722012318, 20.37072205543518)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8568072896900395, 12.788427829742432)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8323904809235666, 24.32620596885681)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.867602029050729, 22.071525812149048)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8357496893460544, 23.124669075012207)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8357496893460544, 21.794866800308228)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8357496893460544, 21.035014867782593)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8330032327328711, 21.636450052261353)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8675731380373763, 12.72876787185669)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8659483782525207, 23.45716905593872)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8667576791808873, 10.944543838500977)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8558058925476603, 12.643126010894775)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8314699792960664, 23.835209846496582)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8651097824858395, 11.642880916595459)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8631337493497918, 22.624481916427612)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8292828524433273, 22.72845697402954)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8322307784628926, 22.52773094177246)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8322307784628926, 22.024178981781006)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8334975252013083, 23.35347318649292)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8322307784628926, 22.33319091796875)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8326176713459951, 21.888155937194824)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8322307784628926, 21.497992753982544)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8498790438791801, 22.279152870178223)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8326176713459951, 21.60271692276001)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8292828524433273, 22.55855417251587)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.267719984054565)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.215367317199707)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.227680206298828)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.263248920440674)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.128772020339966)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.056993007659912)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.073270797729492)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.225319862365723)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.163043022155762)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.114419937133789)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8584280001229508, 19.599927186965942)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8576873617430827, 20.129812955856323)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8530082755535675, 20.350183725357056)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8569060306470551, 20.288291692733765)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8526838918593587, 19.056315898895264)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8608849557522124, 21.30770492553711)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8480663947581896, 20.683849096298218)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8723354071781658, 21.52186107635498)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8514713814322702, 24.24048614501953)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.85314571814684, 24.329565286636353)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8526915328957803, 14.770795106887817)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8561589803756153, 15.874156713485718)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8583434588979308, 15.82624101638794)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.859588513713132, 16.768857955932617)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.858429661365937, 14.734227895736694)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8444668939650422, 17.85136389732361)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8530396143207328, 19.847144842147827)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8461616381489344, 23.25818395614624)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.127076148986816)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.852030003357334, 18.572765827178955)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8553005244968878, 20.255166053771973)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.866248196904255, 19.822412967681885)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8658142861331788, 20.16371178627014)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8633894286526889, 21.475062131881714)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8503926793367311, 21.80203914642334)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8563842343282719, 23.38668990135193)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8674219403725167, 22.822163105010986)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.847764651378272, 21.97066020965576)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8734366639908313, 34.33290696144104)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8658234780916592, 16.268786907196045)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8561901663770822, 17.119059085845947)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8594363361852038, 18.43123722076416)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.85698864966066, 17.852171897888184)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.858177727784027, 16.78022289276123)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8583380518432119, 16.146723985671997)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8573100885614376, 21.80099892616272)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8400058696730186, 21.8803551197052)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.0484232902526855)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8531662564332066, 18.132319927215576)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8592479886911072, 19.907989025115967)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8511948293335866, 20.416640758514404)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8580113687310643, 20.80881977081299)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8590242024515715, 22.03310799598694)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8636610783869505, 22.68358302116394)
